# ABCx3 canonical Hungarian classic-tile lexicon v1
# key=base64url one-byte token identifiers; value=NFC surface
# Compatibility aliases first; preferred physical spelling follows.
AQMBECAdHQER	abakusszal
AQMHHR0NFA	abesszin
AQMHHR0NFAMB	abesszinba
AQMHHR0NFAMH	abesszinbe
AQMHHR0NFAcQ	abesszinek
AQMHHR0NFAcU	abesszinen
AQMHHR0NFA0K	abesszinig
AQMHHR0NFBQC	abesszinná
AQMHHR0NFBQI	abesszinné
AQMHHR0NFBYQ	abesszinok
AQMHHR0NFBYU	abesszinon
AQMHHR0NFBsB	abesszinra
AQMHHR0NFBsH	abesszinre
AQMHHR0NFB4	abesszint
AQMHHR0NFCAR	abesszinul
AQMHHR0NFCIR	abesszinül
AQMWGx4gHR0C	abortusszá
AQMbFhQFBQER	abronccsal
AQMbFhQFBQI	abronccsá
AQMbFh0dARE	abrosszal
AQMbFh0dAg	abrosszá
AQMdBA0dHQE	abszcissza
AQYCHR0iFAce	adásszünet
AQYWEwIVFQER	adománnyal
AQYWEwIVFQI	adománnyá
AQYXAREBFRUC	adóalannyá
AQYXIgsLBxE	adóüggyel
AQYbBx0d	adressz
AQYbBx0dAhE	adresszál
AQYbBx0dAhEG	adresszáld
AQYbBx0dAhEP	adresszálj
AQYbBx0dAhEe	adresszált
AQYbBx0dBx4	adresszet
AQYbBx0dCBQ	adresszén
AQYbBx0dCB4	adresszét
AQoBFAUFARE	aganccsal
AQoBFAUFAg	aganccsá
AQoBGwIdHQ	agarássz
AQoBGwIdHQEQ	agarásszak
AQoBGwIdHQIR	agarásszál
AQoBGwIdHQgQ	agarásszék
AQoBGwIdHRYU	agarásszon
AQoKAR0d	aggassz
AQoKAR0dAQ	aggassza
AQoKAR0dAQY	aggasszad
AQoKAR0dARA	aggasszak
AQoKAR0dARM	aggasszam
AQoKAR0dAhA	aggasszák
AQoKAR0dAhE	aggasszál
AQoKAR0dFhQ	aggasszon
AQoKAR0dIBA	aggasszuk
AQoKAR0dIBQQ	aggasszunk
AQoKAhISARE	aggállyal
AQoKAhISAg	aggállyá
AQobBx0dDRc	agresszió
AQobBx0dDRcG	agressziód
AQobBx0dDRcN	agressziói
AQobBx0dDRcQ	agressziók
AQobBx0dDRcT	agresszióm
AQobBx0dDRcU	agresszión
AQobBx0dDRcc	agressziós
AQobBx0dDRce	agressziót
AQobBx0dDiQ	agresszív
AQobBx0dDiQI	agresszívé
AQobBx0dFhs	agresszor
AQobBx0dFhse	agresszort
AQsLARE	aggyal
AQsLAg	aggyá
AQsWFRUHGx4	agyonnyert
AQsWFRUWEw	agyonnyom
AQsWFRUWExc	agyonnyomó
AQsWFRUjHh4	agyonnyűtt
AQwCFRUBEQ	ahánnyal
